Team,Accuracy,F1-Score
farahgaber,99.33,99.3
AbdUllah0x52,99.11,99.15
odaygado3,98.88,98.81
abdalla-sobhy,96.88,96.77
mayaosama004,93.75,93.86
fa3491989-glitch,93.53,91.99
Fares2004-full,86.16,84.31
Felopater798,83.71,81.29
MarkAshraff1,80.36,77.86
mohamed4822,77.68,75.44
MichaelWilliam77,80.13,74.48
amr-ahmed23,73.44,65.86
